s,Source,Context,Max Line Width,English,Francais,German
tutorialTipQuest01,,Popup Tip,,"Dear Friend,\n\nThe wasteland can be an unforgiving place, and you look like you could use some help. Enclosed is a short guide to help you survive. If you complete it, we just might take in a new citizen. The White River Settlement, it's real and it's safe.\n\nGood Luck, Noah",,
tutorialTipQuest02,,Popup Tip,,"Basic Survival is your active quest. The quest's status is displayed on the Objective Tracker in the top right of the screen. For more information on quests, access your Inventory and navigate to the Quests menu.",,
tutorialTipQuest03,,Popup Tip,,"You've earned a Skill Point for completing the Basic Survival Quest. Spend it by accessing your Inventory and navigating to the Skills menu, then highlight the desired Skill or Perk and purchase it.",,
tutorialTipQuest04,,Popup Tip,,"Open your inventory and navigate to the quests tab to view the quests that are currently available you can also toggle what quests you would like to see active.",,
quest_BasicSurvival,,Quest Info,,Basic Survival,,
quest_BasicSurvival1,,Quest Info,,Basic Survival,,
quest_BasicSurvival1_subtitle,,Quest Info,,You have unlocked new quests!,,
quest_BasicSurvival1_description,,Quest Info,,"Check your quests tab to view your new quests!",,
quest_BasicSurvival0,,Quest Info,,Basic Survival 1/35,,
quest_BasicSurvival0_subtitle,,Quest Info,,Craft a Stone Axe,,
quest_BasicSurvival0_description,,Quest Info,,"Craft a Stone Axe to help you defend yourself and gather crafting ingredients. Gather the ingredients by attacking grass, stone, or wood objects. You can also pick up small stones by looking at them and using the Pickup action. Once you have the ingredients, access the Inventory and locate Stone Axe in the Basics category of the Crafting window. Craft a Stone Axe.",,
quest_BasicSurvival2,,Quest Info,,Basic Survival 2/35,,
quest_BasicSurvival2_subtitle,,Quest Info,,Craft Plant Fiber Clothing,,
quest_BasicSurvival2_description,,Quest Info,,"Craft plant fiber clothing to protect you from damage and keep you warm in cold weather. Gather plant fibers by attacking grass and small plants. Once you have the ingredients, access the Inventory and locate the Clothing category of the Crafting window. Craft plant fiber clothing.",,
quest_BasicSurvival3,,Quest Info,,Basic Survival 3/35,,
quest_BasicSurvival3_subtitle,,Quest Info,,Wear Plant Fiber Clothing,,
quest_BasicSurvival3_description,,Quest Info,,"To wear your plant fiber clothing, access the Inventory and select an article of clothing, then select Wear in the Action window. Once dressed, access the Character menu to see the insulation and defense your worn clothing provides in the top left of the Character window.",,
quest_BasicSurvival4,,Quest Info,,Basic Survival 4/35,,
quest_BasicSurvival4_subtitle,,Quest Info,,Craft Wooden Club,,
quest_BasicSurvival4_description,,Quest Info,,"Gather wood by attacking trees or bushes. Once you have the ingredients, access the Inventory and locate Wooden Club in the Basics category of the Crafting window. Craft a Wooden Club.",,
quest_BasicSurvival5,,Quest Info,,Basic Survival 5/35,,
quest_BasicSurvival5_subtitle,,Quest Info,,Craft Bow & Arrows,,
quest_BasicSurvival5_description,,Quest Info,,"Now that you have a melee weapon, you could use a ranged weapon. Gather wood, stone, plant fibers and feathers found in bird nests on the ground. Once you have the ingredients, access the Basics category of the Crafting window. Craft a Wooden Bow and Arrows.",,
quest_BasicSurvival6,,Quest Info,,Basic Survival 6/35,,
quest_BasicSurvival6_subtitle,,Quest Info,,Start a Base,,
quest_BasicSurvival6_description,,Quest Info,,"Once you get a workbench set up you should craft wooden frames from the Basics category of the Crafting window. Place Wooden Frames in the world by equipping them and using the secondary action. Upgrade them with a Stone Axe using the secondary action while you have extra wood in your Inventory.",,
quest_BasicSurvival7,,Quest Info,,Basic Survival 13/35,,
quest_BasicSurvival7_subtitle,,Quest Info,,Craft a Bedroll,,
quest_BasicSurvival7_description,,Quest Info,,"Craft a Bedroll by gathering cotton and crafting some cloth. Once you have the ingredients go to your tailoring table and make sure you have a sewing machine, navigate to the bedroll recipe, highlight the recipe and click the craft button. \n\nPlace the Bedroll in the world by first equipping it and using the secondary action key. Once placed you'll see a Bed Icon on your compass and map. This will lead you back to your home and will act as a re-spawn point if you die.",,
quest_BasicSurvival8,,Quest Info,,Basic Survival 7/35,,
quest_BasicSurvival8_subtitle,,Quest Info,,Build a Campfire,,
quest_BasicSurvival8_description,,Quest Info,,"Gather small stones and Craft a Campfire from the Basics category of the Crafting window. Equip the Campfire and place it in the world using the secondary action. Once placed you can use the campfire to warm yourself or cook.",,
quest_BasicSurvival9,,Quest Info,,Basic Survival 8/35,,
quest_BasicSurvival9_subtitle,,Quest Info,,Build a forge,,
quest_BasicSurvival9_description,,Quest Info,,"Build a Forge as soon as possible, it is essential for your survival. Gather short metal pipes, clay, and animal hide. Once you have the ingredients, access your crafting menue. Craft a Forge.",,
quest_BasicSurvival10,,Quest Info,,Basic Survival 0/35,,
quest_BasicSurvival10_subtitle,,Quest Info,,Upgrade an Oven and get it working,,
quest_BasicSurvival10_description,,Quest Info,,"Upgrade an Oven to allow you access to beaker related recipes. Craft some forged iron at the forge and upgrade the oven with your stone axe. Once you have upgraded the oven you can then access more advanced recipes that require the beaker.",,
quest_BasicSurvival11,,Quest Info,,Basic Survival 9/35,,
quest_BasicSurvival11_subtitle,,Quest Info,,Build a Workbench,,
quest_BasicSurvival11_description,,Quest Info,,"Build a Workbench in order to craft more complex things. Gather wood, nails and glue. Once you have the ingredients, access the your crafting window, navigate to the Workbench recipe. Craft a Workbench.",,
quest_BasicSurvival12,,Quest Info,,Basic Survival 10/35,,
quest_BasicSurvival12_subtitle,,Quest Info,,Build a Tailoring Table,,
quest_BasicSurvival12_description,,Quest Info,,"Build a Tailoring Table to assist you in crafting essential survival gear such as a bedroll. Gather wood, nails and glue. Once you have the ingredients, access the your crafting window, navigate to the Tailoring Table recipe. Craft a Tailoring Table.",,
quest_BasicSurvival13,,Quest Info,,Basic Survival 11/35,,
quest_BasicSurvival13_subtitle,,Quest Info,,Build a Smithing Table,,
quest_BasicSurvival13_description,,Quest Info,,"Build a Smithing Table to make more advanced tools and weapons to make survival easier. Gather iron and clay and smelt it into your forge. Once you have smelted the the ingredients, access the Forge crafting window, navigate to the Smithing Table recipe. Craft a Smithing Table.",,
quest_BasicSurvival14,,Quest Info,,Basic Survival 12/35,,
quest_BasicSurvival14_subtitle,,Quest Info,,Craft a Sewing Machine,,
quest_BasicSurvival14_description,,Quest Info,,"Craft a Sewing Machine to allow you to craft essential survival gear at the Tailoring Table. Gather a Spring, a nail, Forged Iron, and some Duct Tape. Once you have the ingredients, access the Workstation and locate the Sewing Machine recipe. Craft a Sewing Machine.",,
quest_BasicSurvival15,,Quest Info,,Basic Survival 14/35,,
quest_BasicSurvival15_subtitle,,Quest Info,,Craft Animal Hide Clothing,,
quest_BasicSurvival15_description,,Quest Info,,"Craft hide clothing to further protect you from damage and keep you warmer in cold weather. Gather animal hide by harvesting animals. Once you have the ingredients, access the Tailoring Table and locate the Animal Hide CLothing recipes. Craft Hide clothing.",,
quest_BasicSurvival16,,Quest Info,,Basic Survival 15/35,,
quest_BasicSurvival16_subtitle,,Quest Info,,Wear Animal Hide Clothing,,
quest_BasicSurvival16_description,,Quest Info,,"To wear your hide clothing, access the Inventory and select an article of clothing, then select Wear in the Action window. Once dressed, access the Character menu to see the insulation and defense your worn clothing provides in the top left of the Character window.",,
quest_BasicSurvival17,,Quest Info,,Basic Survival 16/35,,
quest_BasicSurvival17_subtitle,,Quest Info,,Craft Leather Armor,,
quest_BasicSurvival17_description,,Quest Info,,"Craft Leather Armor to further protect you from damage and keep you warmer in cold weather. Gather or craft Leather. Once you have the ingredients, access the Tailoring Table and locate the Leather Armor recipes. Craft Leather Armor.",,
quest_BasicSurvival18,,Quest Info,,Basic Survival 17/35,,
quest_BasicSurvival18_subtitle,,Quest Info,,Wear Leather Armor,,
quest_BasicSurvival18_description,,Quest Info,,"To wear your Leather Armor, access the Inventory and select an article of clothing, then select Wear in the Action window. Once dressed, access the Character menu to see the insulation and defense your worn clothing provides in the top left of the Character window.",,
quest_BasicSurvival19,,Quest Info,,Basic Survival 18/35,,
quest_BasicSurvival19_subtitle,,Quest Info,,Craft Scrap Armor,,
quest_BasicSurvival19_description,,Quest Info,,"Craft Scrap Armor to further protect you from damage and keep you warmer in cold weather. Gather Scrap Iron Leather and Duct Tape. Once you have the ingredients, access the Smithing Table and locate the Scrap Armor recipes. Craft Scrap Armor.",,
quest_BasicSurvival20,,Quest Info,,Basic Survival 19/35,,
quest_BasicSurvival20_subtitle,,Quest Info,,Wear Scrap Armor,,
quest_BasicSurvival20_description,,Quest Info,,"To wear your Scrap Armor, access the Inventory and select an article of clothing, then select Wear in the Action window. Once dressed, access the Character menu to see the insulation and defense your worn clothing provides in the top left of the Character window.",,
quest_BasicSurvival21,,Quest Info,,Basic Survival 20/35,,
quest_BasicSurvival21_subtitle,,Quest Info,,Craft Military Armor,,
quest_BasicSurvival21_description,,Quest Info,,"Craft Military Armor to further protect you from damage and keep you warmer in cold weather. Gather Forged Iron and Military Fibers. Once you have the ingredients, access the Smithing Table and locate the Iron Armor recipes. Craft Iron Armor.",,
quest_BasicSurvival22,,Quest Info,,Basic Survival 21/35,,
quest_BasicSurvival22_subtitle,,Quest Info,,Wear Military Armor,,
quest_BasicSurvival22_description,,Quest Info,,"To wear your Iron Armor, access the Inventory and select an article of clothing, then select Wear in the Action window. Once dressed, access the Character menu to see the insulation and defense your worn clothing provides in the top left of the Character window.",,
quest_BasicSurvival23,,Quest Info,,Basic Survival 22/35,,
quest_BasicSurvival23_subtitle,,Quest Info,,Craft Iron Armor,,
quest_BasicSurvival23_description,,Quest Info,,"Craft Iron Armor to further protect you from damage and keep you warmer in cold weather. Gather Forged Iron. Once you have the ingredients, access the Smithing Table and locate the Iron Armor recipes. Craft Iron Armor.",,
quest_BasicSurvival24,,Quest Info,,Basic Survival 23/35,,
quest_BasicSurvival24_subtitle,,Quest Info,,Wear Iron Armor,,
quest_BasicSurvival24_description,,Quest Info,,"To wear your Iron Armor, access the Inventory and select an article of clothing, then select Wear in the Action window. Once dressed, access the Character menu to see the insulation and defense your worn clothing provides in the top left of the Character window.",,
quest_BasicSurvival25,,Quest Info,,Basic Survival 24/35,,
quest_BasicSurvival25_subtitle,,Quest Info,,Craft an Iron Club,,
quest_BasicSurvival25_description,,Quest Info,,"Gather wood and Forged Iron. Once you have the ingredients, access the Smithing Table and locate the Iron Club recipe. Craft an Iron Club.",,
quest_BasicSurvival26,,Quest Info,,Basic Survival 25/35,,
quest_BasicSurvival26_subtitle,,Quest Info,,Craft a Barbed Club,,
quest_BasicSurvival26_description,,Quest Info,,"Gather wood and Barbed Wire. Once you have the ingredients, access the Smithing Table and locate the Barbed Club recipe. Craft a Barbed Club.",,
quest_BasicSurvival27,,Quest Info,,Basic Survival 26/35,,
quest_BasicSurvival27_subtitle,,Quest Info,,Craft a Spiked Club,,
quest_BasicSurvival27_description,,Quest Info,,"Gather wood and Nails. Once you have the ingredients, access the Smithing Table and locate the Spiked Club recipe. Craft a Spiked Club.",,
quest_BasicSurvival28,,Quest Info,,Basic Survival 27/35,,
quest_BasicSurvival28_subtitle,,Quest Info,,Craft a Sledgehammer,,
quest_BasicSurvival28_description,,Quest Info,,"Gather wood and Forged Iron. Once you have the ingredients, access the Smithing Table and locate the Sledgehammer recipe. Craft a Sledgehammer.",,
quest_BasicSurvival29,,Quest Info,,Basic Survival 28/35,,
quest_BasicSurvival29_subtitle,,Quest Info,,Craft a Hunting Knife,,
quest_BasicSurvival29_description,,Quest Info,,"Gather wood and Forged Iron. Once you have the ingredients, access the Smithing Table and locate the Hunting Knife recipe. Craft a Hunting Knife.",,
quest_BasicSurvival30,,Quest Info,,Basic Survival 29/35,,
quest_BasicSurvival30_subtitle,,Quest Info,,Craft a Machete,,
quest_BasicSurvival30_description,,Quest Info,,"Gather Wood, Leather, Duct Tape, and Forged Steel. Once you have the ingredients, access the Smithing Table and locate the Machete recipe. Craft a Machete.",,
quest_BasicSurvival31,,Quest Info,,Basic Survival 31/35,,
quest_BasicSurvival31_subtitle,,Quest Info,,Craft a Steel Shovel,,
quest_BasicSurvival31_description,,Quest Info,,"Gather wood and Forged Steel. Once you have the ingredients, access the Smithing Table and locate the Steel Shovel recipe. Craft a Steel Shovel.",,
quest_BasicSurvival32,,Quest Info,,Basic Survival 32/35,,
quest_BasicSurvival32_subtitle,,Quest Info,,Craft a Steel Pickaxe,,
quest_BasicSurvival32_description,,Quest Info,,"Gather wood and Forged Steel. Once you have the ingredients, access the Smithing Table and locate the Steel Pickaxe recipe. Craft a Steel Pickaxe.",,
quest_BasicSurvival33,,Quest Info,,Basic Survival 33/35,,
quest_BasicSurvival33_subtitle,,Quest Info,,Craft a Steel Fireaxe,,
quest_BasicSurvival33_description,,Quest Info,,"Gather wood and Forged Steel. Once you have the ingredients, access the Smithing Table and locate the Steel Fireaxe recipe. Craft a Steel Fireaxe.",,
quest_BasicSurvival34,,Quest Info,,Basic Survival 34/35,,
quest_BasicSurvival34_subtitle,,Quest Info,,Craft a Nailgun,,
quest_BasicSurvival34_description,,Quest Info,,"Gather Springs, Duct Tape, Scrap Cable, and Forged Steel. Once you have the ingredients, access the Smithing Table and locate the Nailgun recipe. Craft a Nailgun.",,
quest_BasicSurvival35,,Quest Info,,Basic Survival 35/35,,
quest_BasicSurvival35_subtitle,,Quest Info,,Craft a Small Engine,,
quest_BasicSurvival35_description,,Quest Info,,"Gather Springs, Scrap Cable, Forged Iron, an Air Filter and a Radiator. Once you have the ingredients, access the Smithing Table and locate the Small Engine recipe. Craft a Small Engine.",,
quest_BasicSurvival36,,Quest Info,,Basic Survival 30/35,,
quest_BasicSurvival36_subtitle,,Quest Info,,Craft a Crossbow,,
quest_BasicSurvival36_description,,Quest Info,,"Gather Springs, Scrap Cable, Forged Iron, an Air Filter and a Radiator. Once you have the ingredients, access the Smithing Table and locate the Small Engine recipe. Craft a Small Engine.",,

quest_FirearmAssembly0,,Quest Info,,Firearm Assembly,,

quest_FirearmAssembly01,,Quest Info,,Pistol Assembly,,
quest_FirearmAssembly01_subtitle,,Quest Info,,Assemble a Pistol,,

quest_FirearmAssembly02,,Quest Info,,SMG Assembly,,
quest_FirearmAssembly02_subtitle,,Quest Info,,Assemble an SMG,,

quest_FirearmAssembly03,,Quest Info,,Shotgun Assembly 1/2,,
quest_FirearmAssembly03_subtitle,,Quest Info,,Assemble a Sawed-off Shotgun,,

quest_FirearmAssembly04,,Quest Info,,Shotgun Assembly 2/2,,
quest_FirearmAssembly04_subtitle,,Quest Info,,Assemble a Pump Shotgun,,

quest_FirearmAssembly05,,Quest Info,,Magnum Assembly,,
quest_FirearmAssembly05_subtitle,,Quest Info,,Assemble a 44 Magnum,,

quest_FirearmAssembly06,,Quest Info,,Hunting Rifle Assembly,,
quest_FirearmAssembly06_subtitle,,Quest Info,,Assemble a Hunting Rifle,,

quest_FirearmAssembly07,,Quest Info,,AK47 Assembly,,
quest_FirearmAssembly07_subtitle,,Quest Info,,Assemble an AK47,,

quest_FirearmAssembly08,,Quest Info,,Sniper Rifle Assembly,,
quest_FirearmAssembly08_subtitle,,Quest Info,,Assemble a Sniper Rifle,,

quest_FirearmAssembly09,,Quest Info,,Rocket Launcher Assembly,,
quest_FirearmAssembly09_subtitle,,Quest Info,,Assemble a Rocket Launcher,,

tutorialTipQuest05,,Popup Tip,,"You are humanity's last hope for survival!\nThis will not be easy and you may need to make some tough choices, but if anyone is out there you must do what it takes to survive!\nRise up! Fight back! and take back our precious world!\nHumaity must live on and you are our only hope!",,
quest_ZombieSlayer0,,Quest Info,,Humanity's Last Hope,,

quest_ZombieSlayer01,,Quest Info,,News Report!,,
quest_ZombieSlayer01_subtitle,,Quest Info,,News report,,
quest_ZombieSlayer01_offer,,Quest Info,,"Global Warning!\nThe C.D.C. is officially announcing a world wide epidemic!\nThe Scientists at the C.D.C. have released this statement, An unknown virus has swept over the nations overnight, we suspect a possible biological terrorist attack, although the origins of the virus are unknown, what we do know is that there is no cure, it has a 100% mortality rate and the bodies of the deceased are returning to life, driven by an unknown force that induces a bloodthirsty rage.\nWe are beyond quarantine, we are beyond help and we are beyond hope!",,
quest_ZombieSlayer02,,Quest Info,,A Hard Choice,,
quest_ZombieSlayer02_subtitle,,Quest Info,,Kill 10 Zombies,,
quest_ZombieSlayer02_description,,Quest Info,,The merciful killings,,
quest_ZombieSlayer03,,Quest Info,,Time heals all wounds,,
quest_ZombieSlayer03_subtitle,,Quest Info,,Kill 100 Zombies,,
quest_ZombieSlayer03_description,,Quest Info,,It becomes easier with time,,
quest_ZombieSlayer04,,Quest Info,,A taste for blood,,
quest_ZombieSlayer04_subtitle,,Quest Info,,Kill 500 Zombies,,
quest_ZombieSlayer04_description,,Quest Info,,"Emotionally numb, you no longer stop to think about your actions and accept your fate.",,
quest_ZombieSlayer05,,Quest Info,,killin's as easy as breathing,,
quest_ZombieSlayer05_subtitle,,Quest Info,,Kill 1000 Zombies,,
quest_ZombieSlayer05_description,,Quest Info,,There may be some hope left after all...,,

quest_Armored0,,Quest Info,,Armored To The Core,,

quest_Armored01,,Quest Info,,How thick is your hide?,,
quest_Armored01_subtitle,,Quest Info,,Kill 50 zombies while wearing hide armor,,
quest_Armored01_description,,Quest Info,,Put your home made hide armor to the test and kill 50 zombies.,,

quest_Armored02,,Quest Info,,Tough as leather,,
quest_Armored02_subtitle,,Quest Info,,Kill 50 zombies while wearing leather armor,,
quest_Armored02_description,,Quest Info,,Put your home made leather armor to the test and kill 50 zombies.,,

quest_Armored03,,Quest Info,,So you think you can scrap,,
quest_Armored03_subtitle,,Quest Info,,Kill 50 zombies while wearing scrap armor,,
quest_Armored03_description,,Quest Info,,Put your home made scrap armor to the test and kill 50 zombies.,,

quest_Armored04,,Quest Info,,Military grade,,
quest_Armored04_subtitle,,Quest Info,,Kill 50 zombies while wearing military armor,,
quest_Armored04_description,,Quest Info,,Put your home made hide military armor to the test and kill 50 zombies.,,

quest_Armored05,,Quest Info,,Iron maiden,,
quest_Armored05_subtitle,,Quest Info,,Kill 50 zombies while wearing iron armor,,
quest_Armored05_description,,Quest Info,,Put your home made iron armor to the test and kill 50 zombies.,,

quest_WeaponMelee,,Quest Info,,Slice 'Em & Dice 'Em,,
quest_WeaponMelee0,,Quest Info,,Join The Club,,

quest_WeaponMelee01,,Quest Info,,Join The Club 1/5,,
quest_WeaponMelee01_subtitle,,Quest Info,,Kill 50 zombies,,
quest_WeaponMelee01_description,,Quest Info,,Kill 50 zombies with a wooden club,,

quest_WeaponMelee02,,Quest Info,,Join The Club 2/5,,
quest_WeaponMelee02_subtitle,,Quest Info,,Kill 50 zombies,,
quest_WeaponMelee02_description,,Quest Info,,Kill 50 zombies with an iron club,,

quest_WeaponMelee03,,Quest Info,,Join The Club 3/5,,
quest_WeaponMelee03_subtitle,,Quest Info,,Kill 50 zombies,,
quest_WeaponMelee03_description,,Quest Info,,Kill 50 zombies with a barbed club,,

quest_WeaponMelee04,,Quest Info,,Join The Club 4/5,,
quest_WeaponMelee04_subtitle,,Quest Info,,Kill 50 zombies,,
quest_WeaponMelee04_description,,Quest Info,,Kill 50 zombies with a sledgehammer,,

quest_WeaponMelee05,,Quest Info,,Join The Club 5/5,,
quest_WeaponMelee05_subtitle,,Quest Info,,Kill 50 zombies,,
quest_WeaponMelee05_description,,Quest Info,,Kill 50 zombies with a spiked club,,

quest_WeaponMelee06,,Quest Info,,Slice 'Em & Dice 'Em 1/2,,
quest_WeaponMelee06_subtitle,,Quest Info,,Kill 50 zombies,,
quest_WeaponMelee06_description,,Quest Info,,Kill 50 zombies with a hunting knife,,

quest_WeaponMelee07,,Quest Info,,Slice 'Em & Dice 'Em 2/2,,
quest_WeaponMelee07_subtitle,,Quest Info,,Kill 50 zombies,,
quest_WeaponMelee07_description,,Quest Info,,Kill 50 zombies with a machete,,

quest_WeaponRanged,,Quest Info,,Strait as an arrow,,
quest_WeaponRanged0,,Quest Info,,Itchy Trigger Finger,,

quest_WeaponRanged01,,Quest Info,,Itchy Trigger Finger 1/9,,
quest_WeaponRanged01_subtitle,,Quest Info,,Kill 50 zombies,,
quest_WeaponRanged01_description,,Quest Info,,Kill 50 zombies with a pistol,,

quest_WeaponRanged02,,Quest Info,,Itchy Trigger Finger 2/9,,
quest_WeaponRanged02_subtitle,,Quest Info,,Kill 50 zombies,,
quest_WeaponRanged02_description,,Quest Info,,Kill 50 zombies with an SMG,,

quest_WeaponRanged03,,Quest Info,,Itchy Trigger Finger 3/9,,
quest_WeaponRanged03_subtitle,,Quest Info,,Kill 50 zombies,,
quest_WeaponRanged03_description,,Quest Info,,Kill 50 zombies with a Sawed-off Shotgun,,

quest_WeaponRanged04,,Quest Info,,Itchy Trigger Finger 4/9,,
quest_WeaponRanged04_subtitle,,Quest Info,,Kill 50 zombies,,
quest_WeaponRanged04_description,,Quest Info,,Kill 50 zombies with a Pump Shotgun,,

quest_WeaponRanged05,,Quest Info,,Itchy Trigger Finger 5/9,,
quest_WeaponRanged05_subtitle,,Quest Info,,Kill 50 zombies,,
quest_WeaponRanged05_description,,Quest Info,,Kill 50 zombies with a 44 Magnum,,

quest_WeaponRanged06,,Quest Info,,Itchy Trigger Finger 6/9,,
quest_WeaponRanged06_subtitle,,Quest Info,,Kill 50 zombies,,
quest_WeaponRanged06_description,,Quest Info,,Kill 50 zombies with a Hunting Rifle,,

quest_WeaponRanged07,,Quest Info,,Itchy Trigger Finger 7/9,,
quest_WeaponRanged07_subtitle,,Quest Info,,Kill 50 zombies,,
quest_WeaponRanged07_description,,Quest Info,,Kill 50 zombies with an AK47,,

quest_WeaponRanged08,,Quest Info,,Itchy Trigger Finger 8/9,,
quest_WeaponRanged08_subtitle,,Quest Info,,Kill 50 zombies,,
quest_WeaponRanged08_description,,Quest Info,,Kill 50 zombies with a Sniper Rifle,,

quest_WeaponRanged09,,Quest Info,,Itchy Trigger Finger 9/9,,
quest_WeaponRanged09_subtitle,,Quest Info,,Kill 50 zombies,,
quest_WeaponRanged09_description,,Quest Info,,Kill 50 zombies with a Rocket Launcher,,

quest_WeaponRanged10,,Quest Info,,Strait as an arrow 1/2,,
quest_WeaponRanged10_subtitle,,Quest Info,,Kill 50 zombies,,
quest_WeaponRanged10_description,,Quest Info,,Kill 50 zombies with a Wooden Bow,,

quest_WeaponRanged11,,Quest Info,,Strait as an arrow 2/2,,
quest_WeaponRanged11_subtitle,,Quest Info,,Kill 50 zombies,,
quest_WeaponRanged11_description,,Quest Info,,Kill 50 zombies with a Crossbow,,

challenge_silenceofthelambs,,Challenge Info,,Silence of the Lambs,,
challenge_silenceofthelambs_offer,,Challenge Info,,"Dear Survivor,\nIf you've found this note then you know my crew and I have been watching you from afar. You're pretty good at survival but let's see if you can pass this test and just maybe we'll let you join our clan.\n\nGood Luck, Crazy Jake\n\nChallenge: Kill a screamer zombie.",,
challenge_silenceofthelambs_subtitle,,Challenge Info,,Kill some Screamer Zombie,,
challenge_drunkanddisorderly,,Challenge Info,,Drunk and Disorderly,,
challenge_drunkanddisorderly_offer,,Challenge Info,,"Listen Punk,\nIf you've come to possess this note then know this. We've been watching you. You're pretty crafty but let's see if you can do this task and just maybe you can join our little band of merry survivors.\n\nCrazy is my middle name... Jake\n\nChallenge: Kill some zombies with your fists while drunk",,
challenge_drunkanddisorderly_subtitle,,Challenge Info,,Fist Fight Zombies Drunk,,
challenge_doubleKill,,Challenge Info,,Kill 2 Zombies within 4 seconds,,
challenge_doubleKill_offer,,Challenge Info,,"Kill 2 Zombies within 4 seconds Offer",,
challenge_doubleKill_subtitle,,Challenge Info,,Kill 2 Zombies within 4 seconds Subtitle,,
challenge_nurseyoubacktohealth,,Challenge Info,,Nurse You Back to Health,,
challenge_nurseyoubacktohealth_offer,,Challenge Info,,"Hey Survivor,\nIf you've come into possession of this note than you should know we've been tailing you. We like your style but before we roll out the red carpet to our camp let's see if you can handle this little test.\n\nCrazy ‘and I like it' Jake\n\nChallenge: Kill some nurse zombies",,
challenge_nurseyoubacktohealth_subtitle,,Challenge Info,,Kill some Nurse Zombies,,
challenge_copanattitude,,Challenge Info,,Cop an Attitude,,
challenge_copanattitude_offer,,Challenge Info,,"Traveler,\nThe fact that you're reading this note is no accident. My boys have been watching you and we're always looking for new recruits that are still on the living side of things. But before we get all chummy we'd like you to do this little thing to see what you're made of.\n\nThey call me Crazy Jake\n\nChallenge: Kill some zombie cops",,
challenge_copanattitude_subtitle,,Challenge Info,,Kill some Zombie Cops,,
challenge_dogdaysareover,,Challenge Info,,The Dog Days Are Over,,
challenge_dogdaysareover_offer,,Challenge Info,,"Congrats Recruit,\nThis note is a personal invitation to join our clan. We've been following you and see potential. Do this job and we'll think about letting you join. Let's see if you're tough enough to kill some zombie dogs.\n\nI'm fucking Crazy Jake\n\nChallenge: Kill some zombie dogs",,
challenge_dogdaysareover_subtitle,,Challenge Info,,Kill some Zombie Dogs,,
challenge_itsybitsyspider,,Challenge Info,,Itsy Bitsy Spider,,
challenge_itsybitsyspider_offer,,Challenge Info,,"Hey Jackass,\nIf you're reading this note it should come as no surprise that we've been sizing you up. I've got just the test for a simpleton like you. Do it and we might take you in.\n\nCrazier than ever... Jake\n\nChallenge: Kill some spider zombies",,
challenge_itsybitsyspider_subtitle,,Challenge Info,,Kill some Spider Zombies,,
challenge_ladykiller,,Challenge Info,,Lady Killer,,
challenge_ladykiller_offer,,Challenge Info,,"Dear Stranger,\nMy crew have been following you and have reported some potential. That said if you can pass this challenge we may have room for one more new recruit in our camp.\n\nCrazy ‘Like a Fox' Jake\n\nChallenge: Kill some female zombies",,
challenge_ladykiller_subtitle,,Challenge Info,,Kill some Female Zombies,,
